City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
590,590,Tucuman,AR,2021-10-02 15:39:22,-26.8241,-65.2226,82.94,34,0,4.0
591,591,Griffith,US,2021-10-02 15:41:59,41.5284,-87.4237,75.09,75,75,1.01
595,595,Vung Tau,VN,2021-10-02 15:42:00,10.345999999999998,107.0843,79.36,85,81,5.59
602,602,Dubrovnik,HR,2021-10-02 15:42:03,42.6481,18.0922,71.24,64,20,5.75
603,603,Son La,VN,2021-10-02 15:42:03,21.3167,103.9,70.16,98,99,2.95
604,604,Nantucket,US,2021-10-02 15:42:03,41.2835,-70.0995,69.96,61,1,14.97
609,609,Pouembout,NC,2021-10-02 15:42:05,-21.1333,164.9,69.15,92,29,5.39
613,613,Tateyama,JP,2021-10-02 15:42:06,34.9833,139.8667,70.11,79,0,8.34
614,614,Umred,IN,2021-10-02 15:42:06,20.85,79.3333,77.29,84,100,1.68
615,615,Gizo,SB,2021-10-02 15:42:07,-8.103,156.8419,82.15,74,100,3.69
618,618,Mardin,TR,2021-10-02 15:42:08,37.3131,40.7436,84.31,18,40,5.75
619,619,Kilindoni,TZ,2021-10-02 15:42:08,-7.9139,39.6668,77.4,73,76,12.59
620,620,Sao Lourenco Do Sul,BR,2021-10-02 15:42:08,-31.3653,-51.9783,68.05,60,26,5.01
622,622,Ponta Delgada,PT,2021-10-02 15:42:09,37.7333,-25.6667,74.12,83,40,16.11
623,623,Yantai,CN,2021-10-02 15:39:12,37.5333,121.4,69.49,90,36,9.33
624,624,San Juan Evangelista,MX,2021-10-02 15:42:09,17.9,-95.1333,79.92,77,53,6.89
626,626,Mount Darwin,ZW,2021-10-02 15:42:10,-16.7725,31.5838,81.82,28,12,5.79
627,627,Faya,SA,2021-10-02 15:42:10,18.3851,42.4509,73.51,47,91,3.87
628,628,Palomares,MX,2021-10-02 15:42:10,17.15,-95.0667,82.56,77,68,7.76
629,629,Bud,US,2021-10-02 15:42:11,39.446999999999996,-86.1758,69.75,95,100,8.14
630,630,Nichinan,JP,2021-10-02 15:42:11,31.6,131.3667,71.76,81,0,3.47
631,631,Barbastro,ES,2021-10-02 15:42:11,42.0356,0.1269,80.78,42,55,10.89
632,632,Charters Towers,AU,2021-10-02 15:42:12,-20.1,146.2667,69.17,65,2,7.4
633,633,Lata,PT,2021-10-02 15:42:12,40.1629,-8.3327,75.49,64,100,9.78
639,639,Muros,ES,2021-10-02 15:41:14,42.7762,-9.0603,68.23,89,100,24.74
640,640,Basoko,CD,2021-10-02 15:42:14,1.2391,23.616,71.17,96,100,1.97
645,645,Aras,ES,2021-10-02 15:42:15,42.5617,-2.356,74.98,64,0,0.0
646,646,Traverse City,US,2021-10-02 15:42:07,44.7631,-85.6206,75.83,69,40,5.75
648,648,Epe,NG,2021-10-02 15:42:16,6.5841,3.9834,83.5,73,40,9.42
649,649,Outram,MY,2021-10-02 15:42:16,1.2829,103.8379,80.49,87,40,1.14
650,650,Methana,GR,2021-10-02 15:42:17,37.5823,23.3914,69.78,55,1,23.15
653,653,Colares,PT,2021-10-02 15:42:18,38.7992,-9.4469,74.88,71,75,8.99
